language,typology,PMI,DD
English,SVO,2.9119910099344875,3
English,SVO,0.32849703050870427,1
English,SVO,4.439626826988716,1
English,SVO,0.0053336902648541806,4
English,SVO,3.7288742230814163,1
English,SVO,3.0158293076704266,1
English,SVO,0.09447055935841565,12
English,SVO,5.0267283489634424,1
English,SVO,0.5018251730105001,1
English,SVO,1.7394158720354327,1
English,SVO,1.9846286460609797,5
English,SVO,8.530087052535642,1
English,SVO,3.4427204872306767,3
English,SVO,2.314384526116915,27
English,SVO,1.6138615253910227,4
English,SVO,5.07348512467615,1
English,SVO,4.539391263727439,1
English,SVO,1.3861065030909954,1
English,SVO,2.8735410307158915,1
English,SVO,6.19679550885696,1
English,SVO,3.3577999554105524,1
English,SVO,4.216845591462908,2
English,SVO,3.387654153091189,2
English,SVO,2.028417303377895,1
English,SVO,1.4329465206926213,1
English,SVO,2.515008063681773,2
English,SVO,3.620262111328314,1
English,SVO,3.648956604100694,1
English,SVO,3.0255475157409477,7
English,SVO,5.07348512467615,1
English,SVO,1.7152288111196934,2
English,SVO,2.1630731532590484,1
English,SVO,2.9851354003197836,2
English,SVO,4.851092703339702,1
English,SVO,-0.00025114296942662566,1
English,SVO,4.412659779388447,1
English,SVO,2.891395500919932,2
English,SVO,6.313903811855824,1
English,SVO,2.2121351351756537,1
English,SVO,3.2914637502838535,1
English,SVO,5.7728071965062995,1
English,SVO,1.2216579092941604,1
English,SVO,1.3085424241330592,2
English,SVO,1.3225591248693043,1
English,SVO,5.644354348400327,2
English,SVO,3.3577999554105524,1
English,SVO,5.825370019473523,1
English,SVO,5.644354348400327,2
English,SVO,-0.8969696358480127,13
English,SVO,3.3577999554105524,1
English,SVO,3.8866891937662347,1
English,SVO,3.648956604100694,1
English,SVO,3.4510479185363314,1
English,SVO,5.182542514560397,1
English,SVO,2.490436297662758,1
English,SVO,5.7251891762735605,2
English,SVO,3.0436961011033703,1
English,SVO,2.827265163500216,1
English,SVO,1.198923683465646,2
English,SVO,3.190362447363983,1
English,SVO,8.530087052535642,1
English,SVO,2.1179879806201005,2
English,SVO,2.585194953340564,1
English,SVO,-0.5164628397956615,1
English,SVO,5.602498019352483,1
English,SVO,6.814939568575126,1
English,SVO,4.081145635671887,1
English,SVO,3.0255475157409477,19
English,SVO,3.7288742230814163,1
English,SVO,4.319051426592699,20
English,SVO,2.1759074483695446,1
English,SVO,5.013003146796981,1
English,SVO,3.0255475157409477,9
English,SVO,2.3087533253442736,1
English,SVO,3.921305859788997,3
English,SVO,-0.3411167237565774,3
English,SVO,1.158196156968803,1
English,SVO,1.956236910623488,2
English,SVO,6.456401243209469,1
English,SVO,2.3101882717932747,1
English,SVO,3.8866891937662347,2
English,SVO,-0.03824652923652553,1
English,SVO,2.569943811388562,6
English,SVO,5.0267283489634424,1
English,SVO,7.559016309692355,1
English,SVO,-1.2595658677885029,4
English,SVO,4.081145635671887,1
English,SVO,3.0255475157409477,6
English,SVO,4.516698265896221,9
English,SVO,4.516698265896221,2
English,SVO,-1.9574408321247287,1
English,SVO,-0.06725042989871487,2
English,SVO,4.289344653212459,1
English,SVO,3.5235553151039096,1
English,SVO,2.9010953564310276,1
English,SVO,4.877685414498967,1
English,SVO,4.426185104809756,3
English,SVO,1.114127109173496,1
English,SVO,1.7540749041943513,2
English,SVO,1.960245800736316,15
English,SVO,4.071808979729591,1
English,SVO,-0.45994117265391193,6
English,SVO,3.5235553151039096,1
English,SVO,-0.45994117265391193,1
English,SVO,3.2544114722281057,1
English,SVO,3.793899070217226,3
English,SVO,0.8249669421008947,1
English,SVO,1.7359882271803049,5
English,SVO,2.9010953564310276,1
English,SVO,4.877685414498967,1
English,SVO,4.897161508318246,3
English,SVO,2.4392302167950137,2
English,SVO,1.227492835662417,1
English,SVO,0.44015932935837343,12
English,SVO,6.570353766956551,1
English,SVO,3.1523905352875974,1
English,SVO,2.8631275062320065,2
English,SVO,5.474257124522273,1
English,SVO,1.1932761079243377,1
English,SVO,2.115987902115605,1
English,SVO,3.410520111953721,1
English,SVO,4.285109729667936,1
English,SVO,2.4331497942650007,1
English,SVO,4.426185104809756,2
English,SVO,3.7678343765381976,1
English,SVO,2.8840394351148855,1
English,SVO,0.04858258012961083,7
English,SVO,2.3225591248693043,1
English,SVO,3.804546314416734,2
English,SVO,2.5393912637274396,1
English,SVO,5.901850570692691,1
English,SVO,3.1006004900240556,2
English,SVO,3.1516611104443313,1
English,SVO,5.474257124522273,1
English,SVO,2.4156685292607856,2
English,SVO,4.063994103379537,1
English,SVO,2.0173938263056694,2
English,SVO,1.4069382082825423,1
English,SVO,0.8227422769863808,6
English,SVO,2.3087533253442736,7
English,SVO,2.147073840948679,1
English,SVO,2.4156685292607856,1
English,SVO,3.988257040172521,1
English,SVO,4.863594666317888,1
English,SVO,2.3839596695334473,1
English,SVO,9.407013216247305,1
English,SVO,2.4156685292607856,2
English,SVO,2.6503874014161366,4
English,SVO,6.293618311011176,1
English,SVO,2.253989044865191,1
English,SVO,2.3839596695334473,2
English,SVO,2.6346200855578203,3
English,SVO,3.1649875198451896,11
English,SVO,3.620262111328314,1
English,SVO,4.241298635187448,1
English,SVO,3.5235553151039096,1
English,SVO,-0.45994117265391193,2
English,SVO,4.425786868607031,1
English,SVO,2.3839596695334473,2
English,SVO,2.2728246075559557,4
English,SVO,3.2300632056197105,1
English,SVO,2.515473598626442,9
English,SVO,1.4329465206926213,1
English,SVO,2.051350120283121,3
English,SVO,2.47779725827811,7
English,SVO,2.314384526116915,4
English,SVO,2.3087533253442736,1
English,SVO,1.8901953284685407,1
English,SVO,2.622119406728212,1
English,SVO,3.8935049248542155,3
